,title,moreInfo,systems,genres,playModes,themes,series,playerPerspectives,imageLink,memberRating,gameDescription
0,.hack//G.U. Last Recode,https://www.igdb.com/games/dot-hack-slash-slash-g-dot-u-last-recode,Eighth Generation,Adventure - Role-playing (RPG),Single player,Action - Fantasy - Science fiction,.hack//G.U,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1hpd.jpg,74,"A remastered collection of the .hack//G.U. series with Improved graphics, systems, and game elements. This collection has an additional 4th volume continuing the story 16 months after the end of the 3rd game.There is also a movie version of the story, called .hack//G.U. Termination Disc, that goes over the story of the first 4 .hack games and acts as a prequel to the .hack//G.U. trilogy ending just before the first game begins.It will also include an optional cheat mode, that starts the player with maxed stats, for those who just want to experience the story."".hack//G.U. is back better than ever! Get ready to log back into .hack as the beloved cross media franchise returns with enhanced graphics, improved gameplay, and brand new modes! Join Haseo as he fights to discover what's reality in ""The World"" and save his friend Shino, who was put into a coma in the real world by the Player Killer Tri-Edge.Celebrate the 15th anniversary of the franchise with the epic G.U trilogy, including the original .hack//G.U. titles - Rebirth, Reminisce, and Redemption - now with enhanced system features such as battle balance and game pacing!"""
1,007 Legends,https://www.igdb.com/games/007-legends,Seventh Generation,Shooter,Multiplayer - Single player - Split screen,Action,James Bond,First person,https://images.igdb.com/igdb/image/upload/t_cover_big/co203u.jpg,46,"007 Legends features an original, overarching storyline tying together six classic Bond movies for an original James Bond experience, and equips players with state-of-the-art spy gadgets, an arsenal of weapons and more.In addition to 007 Legends' main story, the game features the return of fan-favorite single-player Mi6 Ops Missions, which debuted in GoldenEye 007: Reloaded and challenges players to complete extra missions ranging from all-out action to stealth and gadget-based gameplay and compete for the highest online leader board scores. Also for the first time ever, players will be able to participate as one of Bond's cohorts or villainous foes, reliving the missions through their eyes, as well as 007's. Meanwhile the robust James Bond multiplayer experience includes local four-player split-screen game modes and online competitive gameplay with new maps, weapons and characters derived from Bond's 50 year legacy. With more gadgets, deeper stealth and spy investigation gameplay, gamers will have every opportunity to truly feel like the world's favorite spy."
2,James Bond 007: Nightfire,https://www.igdb.com/games/james-bond-007-nightfire,Fifth Generation,Shooter,Single player - Split screen,Action,James Bond,First person,https://images.igdb.com/igdb/image/upload/t_cover_big/co26dt.jpg,58,"007: Nightfire is a first-person shooter featuring the character of the British secret agent James Bond and a sequel to Agent Under Fire. The game marked Pierce Brosnan's fourth appearance as James Bond before the release of his fourth and final Bond film Die Another Day. His likeness was featured in the game, but not his voice, which was provided by Maxwell Caulfield. Overall there are many weapons that the player can carry including grenades of various sorts and other types of explosives. In addition, there are numerous amounts of mounted weapons found throughout the game. As with previous James Bond games, the weapons that appear are based on actual weapons, but with the names changed. Some weapons appear in the console version but not the PC version, and vice-versa."
3,10 Second Ninja X,https://www.igdb.com/games/10-second-ninja-x,Eighth Generation,Arcade - Indie - Platform - Puzzle,Single player,Action,10 Second Ninja,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1o34.jpg,77,"10 SECOND NINJA X is a blisteringly fast, satisfyingly difficult and surprisingly methodical sidescroller which tasks you with completing each level in ten seconds or less. No lengthy checkpoint gaps. No cluttered control scheme. No hand holding. Get that three star rating, yo! You got this.1 star. Again. 1 star. Again. 2 stars! Again. Back to 1 star. DAMN IT. Again. 100 levels including all 40 original 10 Second Ninja levels remastered in HD. Individual leaderboards for each level. Unlockables and collectibles."
4,Silent Hill 2,https://www.igdb.com/games/silent-hill-2,Sixth Generation,Adventure - Puzzle,Single player,Drama - Horror - Mystery - Survival,Silent Hill,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co2edz.jpg,90,"The second entry in the Silent Hill franchise, Silent Hill 2 is a narrative-focused third-person psychological horror game with exploration and puzzle-solving elements which follows James Sunderland, a man who receives a letter, seemingly sent by his three-years-deceased wife Mary, in which he is beckoned to the fog-ridden town of Silent Hill at the same time as numerous other people troubled by their past."
5,1001 Spikes,https://www.igdb.com/games/1001-spikes,Seventh Generation,Adventure - Indie - Platform,Multiplayer - Single player,Action,Aban Hawkins,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1omq.jpg,80,"Aban Hawkins & the 1000 Spikes is an 8-bit retro style ""Hardest Extremest Craziest Platform Action Puzzle Adventure."" Simple & intuitive rules. Elaborate level design. Various fierce traps, traps, traps! Return to the Golden Years of Video Game. No one can BEAT this game .  except you."
6,100ft Robot Golf,https://www.igdb.com/games/100ft-robot-golf,Eighth Generation,Fighting - Indie - Sport,Multiplayer - Single player - Split screen,Action - Comedy - Science fiction,,Third person - Virtual Reality,https://images.igdb.com/igdb/image/upload/t_cover_big/co1o2g.jpg,58,100ft Robot Golf is a real time golf game where you get to control impossibly large robots on their quest for par. Never get your ball stuck behind a pesky tree or skyscraper ever again! Just swing your golf club to smash even the tallest buildings out of the way - or into the way of your robot golfing buddies.
7,101 Ways to Die,https://www.igdb.com/games/101-ways-to-die,Eighth Generation,Indie - Platform - Puzzle - Strategy,Single player,Action - Comedy - Educational - Survival,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/sgel1wxpg5uhgoap6xvu.jpg,70,"It's not about killing… it's about killing with style. 101 Ways To Die is a physics-based puzzler with a twist - it's full of dark humour and cartoon gore. As the assistant of an eccentric (and slightly evil) scientist, Professor Splatunfuder, it’s your job to help him in restoring a damaged Recipe book. These aren’t any old cooking Recipes, but Recipes for dispatching your enemies in the most stylish ways possible. The name of the book is 101 Ways To Die.As the assistant to the morally corrupt Professor Ernst Splattunfuder, you must help recreate '101 Ways To Die' - a book full of delightfully gory death recipes for dispatching your foes in the most stylish ways possible.With an arsenal of deadly tools at your disposal, find the most violent and brutal ways to maim, slice, burn, explode, rip and impale the lab created creatures known as Splatts. Don't let them escape."
8,101-in-1 Explosive Megamix,https://www.igdb.com/games/101-in-1-explosive-megamix,Seventh Generation,,,,101-in-1 Megamix,,https://images.igdb.com/igdb/image/upload/t_cover_big/eprbwgpgk6x9rccrdl9d.jpg,52,"Welcome to the home of 101 mind-blowing games for all tastes!Whether you like puzzle games, sport games or fast-paced arcade action, you'll definitely find something to suit you here! Jump in - ten of hours of games await you!"
9,101-in-1 Party Megamix,https://www.igdb.com/games/101-in-1-party-megamix,Seventh Generation,Arcade - Sport,Single player - Split screen,Action - Party,101-in-1 series,,https://images.igdb.com/igdb/image/upload/t_cover_big/m4caw35r7aruqhoz9n4k.jpg,50,"The game features three different modes: TV Guide, Zapping, and Marathon. Featuring eight differently-themed channels, TV Guide mode challenges players to beat high scores to unlock more games and earn bonus prizes to decorate their player profiles with. Zapping mode provides instant access to any currently unlocked game.Up to four players can join the party in Marathon mode where everyone plays five randomly selected games in a row and competes for the highest score. Players can take on the one hundred and one challenges alone to access every last game, or make it a family competition, and see who can unlock the most games. Up to four profiles can be saved per console so each player's individual progress is maintained."
